First_line,City,Postcode,Council_ward,Bedrooms,Bathrooms,Lounges,Price,Square_ft,Property_type,Council_tax_band,EPC_band,Parking,Longitude,Latitude
19a Polmuir Road,Aberdeen,AB11 7RS,Torry/Ferryhill,2,2,1,775,78,Flat,CT Band E,EPC band C,Parking,-2.1033046,57.1351201
90F Huntly Street,Aberdeen,AB10 1TD,Midstocket/Rosemount,1,1,1,475,40,Flat,CT Band A,EPC band F,,-2.1101835,57.1460853
54 Bedford Road,Aberdeen,AB24 3LL,Tillydrone/Seaton/Old Aberdeen,1,1,1,375,43,Flat,CT Band A,EPC band D,Parking,-2.1095753,57.1616674
"Flat B,  25 Union Street",Aberdeen,AB11 5BP,George St/Harbour,1,1,1,550,41,Flat,CT Band A,EPC band D,,-2.0951975,57.1474185
100 Bothwell Road,Aberdeen,AB24 5DE,George St/Harbour,2,2,1,750,82,Flat,CT Band D,EPC band C,Parking,-2.085089203,57.15415222
"Flat E,  108 King Street",Aberdeen,AB24 5BB,George St/Harbour,2,1,1,550,82,Flat,CT Band C,EPC band C,,-2.09349542,57.15050075
"Second Floor Right,  47 Urquhart Road",Aberdeen,AB24 5LR,George St/Harbour,1,1,1,450,52,Flat,CT Band B,EPC band D,,-2.091340269,57.15480698
"Top Floor Right,  246 King Street",Aberdeen,AB24 5BW,George St/Harbour,2,1,1,595,59,Flat,CT Band B,EPC band C,,-2.0943829,57.153038
609 King Street,Aberdeen,AB24 1SA,Tillydrone/Seaton/Old Aberdeen,3,1,1,900,86,Flat,CT Band D,EPC band D,,-2.09712744,57.16727117
62 Bloomfield Court,Aberdeen,AB10 6DS,Torry/Ferryhill,2,1,1,600,50,Flat,CT Band D,EPC band C,Parking,-2.1127415,57.1355209
"59 Picardy Court,  Rose Street",Aberdeen,AB10 1UG,Midstocket/Rosemount,2,1,1,575,46,Flat,CT Band D,EPC band D,Parking,-2.1125784,57.1446246
